value,   feasible,   frequency, time, iteration
14676.0,False,1.0,1.1564581394195557,0
5982.0,False,9.0,1.1564581394195557,0
11094.0,False,6.0,1.1564581394195557,0
12568.0,False,3.0,1.1564581394195557,0
8424.0,False,3.0,1.1564581394195557,0
13820.0,False,5.0,1.1564581394195557,0
8274.0,False,8.0,1.1564581394195557,0
0.0,False,1.0,1.1564581394195557,0
9962.0,False,4.0,1.1564581394195557,0
6156.0,False,3.0,1.1564581394195557,0
9576.0,False,1.0,1.1564581394195557,0
960.0,False,4.0,1.1564581394195557,0
7422.0,False,7.0,1.1564581394195557,0
3422.0,False,2.0,1.1564581394195557,0
17758.0,False,16.0,1.1564581394195557,0
13654.0,False,1.0,1.1564581394195557,0
1010.0,False,2.0,1.1564581394195557,0
8618.0,False,3.0,1.1564581394195557,0
11178.0,False,1.0,1.1564581394195557,0
0.0,False,10.0,1.1564581394195557,0
7420.0,False,10.0,1.1564581394195557,0
5182.0,False,2.0,1.1564581394195557,0
6020.0,False,7.0,1.1564581394195557,0
960.0,False,5.0,1.1564581394195557,0
15552.0,False,6.0,1.1564581394195557,0
9886.0,False,3.0,1.1564581394195557,0
3422.0,False,1.0,1.1564581394195557,0
9470.0,False,3.0,1.1564581394195557,0
0.0,False,1.0,1.1564581394195557,0
3860.0,False,2.0,1.1564581394195557,0
1120.0,False,4.0,1.1564581394195557,0
62.0,False,8.0,1.1564581394195557,0
5994.0,False,6.0,1.1564581394195557,0
6176.0,False,4.0,1.1564581394195557,0
7544.0,False,1.0,1.1564581394195557,0
4842.0,False,7.0,1.1564581394195557,0
5010.0,False,2.0,1.1564581394195557,0
3140.0,True,1.0,1.1564581394195557,0
6174.0,False,3.0,1.1564581394195557,0
9048.0,False,8.0,1.1564581394195557,0
9396.0,False,1.0,1.1564581394195557,0
3422.0,False,2.0,1.1564581394195557,0
1072.0,False,2.0,1.1564581394195557,0
11308.0,False,2.0,1.1564581394195557,0
12154.0,False,2.0,1.1564581394195557,0
3908.0,False,2.0,1.1564581394195557,0
19028.0,False,1.0,1.1564581394195557,0
990.0,False,2.0,1.1564581394195557,0
14728.0,False,2.0,1.1564581394195557,0
11652.0,False,4.0,1.1564581394195557,0
15066.0,False,3.0,1.1564581394195557,0
18942.0,False,3.0,1.1564581394195557,0
19572.0,False,2.0,1.1564581394195557,0
0.0,False,2.0,1.1564581394195557,0
7082.0,False,8.0,1.1564581394195557,0
11676.0,False,9.0,1.1564581394195557,0
5994.0,False,2.0,1.1564581394195557,0
2624.0,False,1.0,1.1564581394195557,0
3394.0,False,5.0,1.1564581394195557,0
2412.0,False,4.0,1.1564581394195557,0
8394.0,False,4.0,1.1564581394195557,0
9552.0,False,3.0,1.1564581394195557,0
7790.0,False,2.0,1.1564581394195557,0
8618.0,False,2.0,1.1564581394195557,0
19602.0,False,4.0,1.1564581394195557,0
5022.0,False,1.0,1.1564581394195557,0
12318.0,False,4.0,1.1564581394195557,0
9920.0,False,2.0,1.1564581394195557,0
1154.0,False,9.0,1.1564581394195557,0
62.0,False,4.0,1.1564581394195557,0
11448.0,False,3.0,1.1564581394195557,0
