value,   feasible,   frequency, time, iteration
2280.0,False,1.0,1.919865608215332,0
2604.0,False,2.0,1.919865608215332,0
24026.0,False,1.0,1.919865608215332,0
12772.0,False,1.0,1.919865608215332,0
51694.0,False,1.0,1.919865608215332,0
0.0,False,1.0,1.919865608215332,0
17090.0,False,1.0,1.919865608215332,0
18430.0,False,1.0,1.919865608215332,0
71894.0,False,1.0,1.919865608215332,0
38000.0,False,1.0,1.919865608215332,0
16236.0,False,1.0,1.919865608215332,0
55256.0,False,1.0,1.919865608215332,0
4074.0,False,1.0,1.919865608215332,0
10904.0,False,1.0,1.919865608215332,0
44280.0,False,1.0,1.919865608215332,0
0.0,False,1.0,1.919865608215332,0
2604.0,False,1.0,1.919865608215332,0
1968.0,False,1.0,1.919865608215332,0
29254.0,False,1.0,1.919865608215332,0
12266.0,False,1.0,1.919865608215332,0
56288.0,False,1.0,1.919865608215332,0
4704.0,False,1.0,1.919865608215332,0
57762.0,False,1.0,1.919865608215332,0
10640.0,False,1.0,1.919865608215332,0
37674.0,False,1.0,1.919865608215332,0
41998.0,False,1.0,1.919865608215332,0
30950.0,False,1.0,1.919865608215332,0
29152.0,False,1.0,1.919865608215332,0
27256.0,False,1.0,1.919865608215332,0
12518.0,False,2.0,0.6971533298492432,1
24298.0,False,1.0,0.6971533298492432,1
9512.0,False,1.0,0.6971533298492432,1
7790.0,False,1.0,0.6971533298492432,1
2280.0,False,1.0,0.6971533298492432,1
23158.0,False,1.0,0.6971533298492432,1
42264.0,False,1.0,0.6971533298492432,1
12992.0,False,1.0,0.6971533298492432,1
0.0,False,1.0,0.6971533298492432,1
38000.0,False,1.0,0.6971533298492432,1
39906.0,False,1.0,0.6971533298492432,1
71894.0,False,1.0,0.6971533298492432,1
38000.0,False,1.0,0.6971533298492432,1
13448.0,False,1.0,0.6971533298492432,1
10904.0,False,1.0,0.6971533298492432,1
27642.0,False,1.0,0.6971533298492432,1
23498.0,False,1.0,0.6971533298492432,1
2376.0,False,1.0,0.6971533298492432,1
11536.0,False,1.0,0.6971533298492432,1
43768.0,False,1.0,0.6971533298492432,1
4326.0,False,1.0,0.6971533298492432,1
40692.0,False,1.0,0.6971533298492432,1
6724.0,False,1.0,0.6971533298492432,1
67192.0,False,1.0,0.6971533298492432,1
19338.0,False,1.0,0.6971533298492432,1
55256.0,False,1.0,0.6971533298492432,1
.9187262058258057,0
22530.0,False,6.0,0.9187262058258057,0
504.0,False,7.0,0.9187262058258057,0
1236.0,False,7.0,0.9187262058258057,0
0.0,False,1.0,0.9187262058258057,0
27360.0,False,6.0,0.9187262058258057,0
19824.0,False,3.0,0.9187262058258057,0
11126.0,True,2.0,0.9187262058258057,0
21136.0,False,1.0,0.9187262058258057,0
16638.0,False,7.0,0.9187262058258057,0
0.0,False,7.0,0.9187262058258057,0
6724.0,False,2.0,0.9187262058258057,0
37674.0,False,5.0,0.9187262058258057,0
51912.0,False,9.0,0.9187262058258057,0
26074.0,False,2.0,0.9187262058258057,0
4578.0,False,6.0,0.9187262058258057,0
1236.0,False,7.0,0.9187262058258057,0
6678.0,False,1.0,0.9187262058258057,0
23616.0,False,1.0,0.9187262058258057,0
12992.0,False,1.0,0.9187262058258057,0
252.0,False,1.0,0.9187262058258057,0
2376.0,False,1.0,0.9187262058258057,0
15908.0,False,6.0,0.9187262058258057,0
7708.0,False,1.0,0.9187262058258057,0
14486.0,False,1.0,0.9187262058258057,0
4326.0,False,1.0,0.9187262058258057,0
36966.0,False,4.0,0.9187262058258057,0
984.0,False,6.0,0.9187262058258057,0
6724.0,False,2.0,0.9187262058258057,0
29254.0,False,6.0,0.9187262058258057,0
28024.0,False,1.0,0.9187262058258057,0
40380.0,False,6.0,0.9187262058258057,0
22504.0,False,5.0,0.9187262058258057,0
0.0,False,4.0,0.9187262058258057,0
19400.0,False,4.0,0.9187262058258057,0
27784.0,False,4.0,0.9187262058258057,0
7790.0,False,5.0,0.9187262058258057,0
21690.0,False,5.0,0.9187262058258057,0
13346.0,True,1.0,0.9187262058258057,0
16638.0,False,1.0,0.9187262058258057,0
